date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2026-08-03,TAIEX,11427047935,885506043091,42780.42,43784.19,42780.42,43386.41,266.66,4191882
2026-08-04,TAIEX,11340636777,1087045875836,43092.49,43912.77,42895.81,43360.66,-25.75,4751347
2026-08-05,TAIEX,13207451811,1200212510521,43809.83,44980.31,43809.83,44611.6,1250.94,5256070
2026-08-06,TAIEX,10650583944,974054973424,44487.94,44601.24,44024.32,44396.7,-214.9,4630303
2026-08-07,TAIEX,9376069669,850815189087,44450.19,44827.13,43941.56,44225.91,-170.79,4398054
2026-08-10,TAIEX,10238975923,880440723750,44540.71,45219.4,44540.71,44928.76,702.85,4441614
2026-08-11,TAIEX,9740372114,902052207533,44883.9,45195.41,44652.06,45120.72,191.96,4473307
2026-08-12,TAIEX,9972596202,892659784922,45175.7,45529.48,45175.7,45518.07,397.35,4570191
2026-08-13,TAIEX,11492166298,1104024642159,45676.54,46216.41,45676.54,46021.48,503.41,5240402
2026-08-14,TAIEX,11975502093,1109746702006,46103.81,46402.6,45798.31,45811.01,-210.47,5369692
2026-08-17,TAIEX,10616088292,981055134845,45841.17,46189.3,45765.07,45857.27,46.26,4740651
2026-08-18,TAIEX,10333808272,1007881760816,45922.4,46064.09,45225.42,45308.68,-548.59,5224454
2026-08-19,TAIEX,10230116335,890269743542,45071.34,45071.34,44308.71,44719.35,-589.33,4880908
2026-08-20,TAIEX,9068926422,834412514041,44942.01,45160.05,44446.36,44933.74,214.39,4140846
2026-08-21,TAIEX,8208832354,754905335886,44923.34,45254.84,44583.87,45224.29,290.55,3751488
2026-08-24,TAIEX,8082548083,656280679689,45240.3,45362.3,44761.88,44762.32,-461.97,3876321
2026-08-25,TAIEX,8831346453,724258445490,44728.36,45169.46,44210.31,45169.46,407.14,4106735
2026-08-26,TAIEX,9809666418,843092483357,45157.64,45878.39,44925.84,45832.62,663.16,4111041
2026-08-27,TAIEX,10576672265,967466055186,45890.18,46401.78,45890.18,45975.22,142.6,4529035
2026-08-28,TAIEX,11093847809,1068985392591,46070.83,46574.52,46070.83,46331.45,356.23,4945504
2026-08-31,TAIEX,13539824225,1289228143090,46224.69,46224.69,45450.21,46128.47,-202.98,5069097
