date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2026-08-03,2330,35209944,83673350698,2390.0,2395.0,2365.0,2370.0,-55.0,174489
2026-08-04,2330,41021199,95455231293,2335.0,2360.0,2310.0,2320.0,-50.0,277787
2026-08-05,2330,36782301,88157683613,2385.0,2415.0,2370.0,2405.0,85.0,119876
2026-08-06,2330,25536816,60600738669,2395.0,2395.0,2360.0,2365.0,-40.0,89846
2026-08-07,2330,24414025,57947015347,2390.0,2395.0,2355.0,2370.0,5.0,64670
2026-08-10,2330,21498241,51385081395,2390.0,2410.0,2380.0,2380.0,10.0,67328
2026-08-11,2330,18247582,43667182348,2390.0,2405.0,2375.0,2395.0,15.0,50065
2026-08-12,2330,19448153,46798062170,2405.0,2415.0,2390.0,2415.0,20.0,63548
2026-08-13,2330,26233385,63854331391,2440.0,2445.0,2425.0,2435.0,20.0,73397
2026-08-14,2330,21162682,51159731253,2435.0,2440.0,2395.0,2395.0,-40.0,105889
2026-08-17,2330,13482456,32423014050,2410.0,2420.0,2390.0,2400.0,5.0,56197
2026-08-18,2330,19997213,47742904360,2415.0,2415.0,2375.0,2380.0,-20.0,102735
2026-08-19,2330,23618612,55394691541,2340.0,2355.0,2335.0,2350.0,-30.0,193704
2026-08-20,2330,16967737,40117420293,2365.0,2375.0,2350.0,2375.0,25.0,46361
2026-08-21,2330,18922480,45275662448,2375.0,2410.0,2365.0,2410.0,35.0,59539
2026-08-24,2330,13073210,31234578255,2410.0,2410.0,2375.0,2375.0,-35.0,84694
2026-08-25,2330,13538447,32130079305,2355.0,2400.0,2350.0,2400.0,25.0,57334
2026-08-26,2330,19467241,46818064372,2375.0,2425.0,2375.0,2415.0,15.0,67273
2026-08-27,2330,19214481,46545167227,2430.0,2435.0,2410.0,2410.0,-5.0,60122
2026-08-28,2330,15025832,36465015980,2440.0,2445.0,2410.0,2420.0,10.0,52492
2026-08-31,2330,32792740,78563954428,2395.0,2405.0,2375.0,2405.0,-15.0,106512
2026-08-03,2303,372708183,44740294236,125.5,126.0,116.0,118.0,-3.0,178352
2026-08-04,2303,181714211,21507335264,118.5,120.0,115.5,118.5,0.5,87370
2026-08-05,2303,279502812,34760195802,129.0,129.0,121.5,122.0,3.5,134929
2026-08-06,2303,149054040,17934234751,121.5,123.5,118.0,121.5,-0.5,77555
2026-08-07,2303,169352784,19789208343,121.5,121.5,114.0,116.0,-5.5,123813
2026-08-10,2303,175668376,21333935551,117.0,123.5,117.0,123.0,7.0,95742
2026-08-11,2303,79882055,9753279564,121.5,124.5,120.0,123.0,0.0,49336
2026-08-12,2303,93125712,11455480099,123.0,125.5,121.0,123.0,0.0,56518
2026-08-13,2303,201443326,25434699483,125.5,130.5,123.0,124.5,1.5,110870
2026-08-14,2303,114922515,14064922474,125.0,125.5,120.0,121.0,-3.5,76698
2026-08-17,2303,67357978,8252017664,121.5,124.0,121.5,121.5,0.5,40964
2026-08-18,2303,91483851,10982956667,122.5,124.0,117.5,119.0,-2.5,67680
2026-08-19,2303,110337394,12716115200,115.0,117.0,113.5,115.5,-3.5,71139
2026-08-20,2303,101840408,11654286968,117.0,118.0,112.0,115.5,0.0,63390
2026-08-21,2303,58537906,6789824073,115.5,117.0,114.0,116.5,1.0,30145
2026-08-24,2303,196622654,24486487496,118.0,128.0,117.5,123.5,7.0,107435
2026-08-25,2303,124999306,15237908272,123.5,125.5,119.0,125.0,1.5,72261
2026-08-26,2303,85108376,10486344236,124.0,124.5,122.0,123.5,-1.5,48491
2026-08-27,2303,184012062,21911557718,123.5,123.5,117.0,118.5,-5.0,126390
2026-08-28,2303,325935822,41775453587,120.5,130.0,120.0,130.0,11.5,160833
2026-08-31,2303,217807917,27526701545,126.5,129.0,124.0,129.0,-1.0,90761
2026-08-03,2454,7516212,29287630390,3910.0,3910.0,3780.0,3910.0,355.0,38212
2026-08-04,2454,17318591,67643468265,4095.0,4095.0,3800.0,3865.0,-45.0,70695
2026-08-05,2454,12935125,52565983817,4095.0,4125.0,3980.0,4000.0,135.0,64713
2026-08-06,2454,7213332,28518420155,4100.0,4100.0,3905.0,3920.0,-80.0,39617
2026-08-07,2454,6607003,25900624790,3990.0,4010.0,3825.0,3900.0,-20.0,42825
2026-08-10,2454,5872851,23240434365,3920.0,3995.0,3915.0,3960.0,60.0,27175
2026-08-11,2454,7709240,30474394880,3900.0,4050.0,3810.0,4020.0,60.0,38219
2026-08-12,2454,6018155,24065457535,3950.0,4030.0,3950.0,4015.0,-5.0,26816
2026-08-13,2454,12263926,51589411510,4130.0,4295.0,4115.0,4225.0,210.0,73334
2026-08-14,2454,10696134,45791288165,4400.0,4400.0,4205.0,4210.0,-15.0,51199
2026-08-17,2454,10559715,43090307420,4205.0,4225.0,4025.0,4050.0,-160.0,57461
2026-08-18,2454,9323808,36682382762,4020.0,4050.0,3885.0,3885.0,-165.0,78042
2026-08-19,2454,7036521,26997429795,3750.0,3910.0,3750.0,3845.0,-40.0,61847
2026-08-20,2454,13213952,49435673925,3820.0,3870.0,3675.0,3700.0,-145.0,139117
2026-08-21,2454,6657464,25017079835,3725.0,3810.0,3695.0,3790.0,90.0,29869
2026-08-24,2454,3321459,12545787785,3820.0,3825.0,3745.0,3765.0,-25.0,30461
2026-08-25,2454,5403340,19946654186,3725.0,3735.0,3655.0,3735.0,-30.0,48906
2026-08-26,2454,8370053,32482789520,3730.0,3965.0,3710.0,3945.0,210.0,49065
2026-08-27,2454,5702912,22369214695,4005.0,4005.0,3865.0,3865.0,-80.0,43578
2026-08-28,2454,5064877,20027639045,3935.0,4000.0,3925.0,3985.0,120.0,32812
2026-08-31,2454,7222243,28095701554,3885.0,3945.0,3820.0,3925.0,-60.0,39571
2026-08-03,2317,52666207,13128239101,244.5,254.0,242.5,253.0,2.5,43086
2026-08-04,2317,41095656,10291326035,249.0,254.5,246.0,250.0,-3.0,40377
2026-08-05,2317,72633762,18765599956,257.0,260.5,256.0,258.5,8.5,59395
2026-08-06,2317,82178728,21570563960,258.5,265.0,257.5,264.5,6.0,69628
2026-08-07,2317,38813488,10147169859,265.5,267.0,258.0,260.0,-4.5,69620
2026-08-10,2317,34854398,9214462439,262.5,266.5,262.0,264.5,4.5,35990
2026-08-11,2317,24592444,6470373444,266.0,266.0,260.5,263.0,-1.5,23177
2026-08-12,2317,60316168,16213151171,264.5,270.5,264.0,270.0,7.0,58017
2026-08-13,2317,96829809,25629947138,274.5,274.5,261.0,262.0,-8.0,112295
2026-08-14,2317,51013887,13278246549,262.0,264.5,257.5,259.5,-2.5,55960
2026-08-17,2317,35551968,9136204669,259.5,261.0,255.0,255.0,-4.5,42529
2026-08-18,2317,50539577,12658290499,255.0,256.5,247.5,249.0,-6.0,65356
2026-08-19,2317,36592747,8966089121,245.0,247.0,242.5,245.0,-4.0,44057
2026-08-20,2317,26344428,6492076639,250.5,250.5,244.0,246.5,1.5,22020
2026-08-21,2317,25420299,6227298637,245.0,247.0,243.0,245.5,-1.0,25510
2026-08-24,2317,23690554,5791846854,246.0,246.5,243.5,243.5,-2.0,24915
2026-08-25,2317,36819297,8851266129,242.0,243.5,238.0,243.0,-0.5,42817
2026-08-26,2317,24910439,6110716235,243.0,248.0,241.5,246.5,3.5,25675
2026-08-27,2317,42280355,10686071680,248.5,256.5,248.5,252.0,5.5,39090
2026-08-28,2317,31847341,8078856908,255.5,256.5,251.0,253.0,1.0,28886
2026-08-31,2317,35223300,8776917438,249.5,251.0,246.0,250.0,-3.0,30653
2026-08-03,0056,38149440,1895652287,49.17,50.1,48.85,49.82,0.34,26608
2026-08-04,0056,37286568,1880552388,49.85,51.0,49.63,50.6,0.78,19241
2026-08-05,0056,59266052,3072970354,51.95,52.1,51.45,51.45,0.85,27918
2026-08-06,0056,21910193,1124672871,51.35,51.7,51.0,51.3,-0.15,18994
2026-08-07,0056,15000744,767859716,51.4,51.5,51.0,51.05,-0.25,15639
2026-08-10,0056,67918629,3546044893,51.9,52.45,51.65,52.45,1.4,34581
2026-08-11,0056,25285813,1317400012,52.4,52.4,51.8,52.3,-0.15,25879
2026-08-12,0056,36316524,1916864932,52.5,53.05,52.5,52.7,0.4,34691
2026-08-13,0056,44643011,2372471109,53.4,53.5,52.9,53.0,0.3,23239
2026-08-14,0056,49247717,2639082749,53.35,54.0,53.3,53.4,0.4,22931
2026-08-17,0056,26728227,1420369210,53.4,53.65,52.85,53.0,-0.4,31371
2026-08-18,0056,30911033,1627696974,53.1,53.2,52.4,52.7,-0.3,24244
2026-08-19,0056,29889911,1550366680,51.7,52.15,51.5,52.0,-0.7,31997
2026-08-20,0056,18583817,967712628,52.35,52.55,51.75,52.05,0.05,18361
2026-08-21,0056,13677478,714497447,52.05,52.45,51.8,52.4,0.35,13349
2026-08-24,0056,15507700,813518145,52.5,52.7,52.15,52.3,-0.1,18640
2026-08-25,0056,20575106,1069696891,52.0,52.55,51.7,52.55,0.25,24584
2026-08-26,0056,31139381,1652774768,52.45,53.3,52.4,53.25,0.7,21549
2026-08-27,0056,37361681,2013022295,53.6,54.1,53.45,53.6,0.35,22361
2026-08-28,0056,19255570,1040682170,54.0,54.45,53.75,53.85,0.25,16647
2026-08-31,0056,56468445,3059540438,53.5,54.65,53.5,54.6,0.75,29861
2026-08-03,0050,169497151,17265510345,102.0,102.7,101.0,102.0,-0.85,148697
2026-08-04,0050,121774200,12269605488,100.65,102.25,99.75,100.65,-1.35,146200
2026-08-05,0050,168906182,17568942082,103.75,104.75,102.9,103.8,3.15,128323
2026-08-06,0050,78928810,8137432075,103.25,103.7,102.55,103.3,-0.5,91395
2026-08-07,0050,69373793,7133048202,103.8,104.0,102.05,102.85,-0.45,94631
2026-08-10,0050,82086387,8557758998,103.9,104.75,103.5,104.25,1.4,101254
2026-08-11,0050,69314252,7226919287,104.05,104.85,103.4,104.6,0.35,84115
2026-08-12,0050,64991356,6826517977,105.0,105.25,104.45,105.2,0.6,154246
2026-08-13,0050,89418262,9538235767,106.55,107.0,106.15,106.7,1.5,84691
2026-08-14,0050,81955573,8764204057,107.1,107.5,106.05,106.4,-0.3,86009
2026-08-17,0050,58016480,6183538233,106.4,106.95,106.0,106.45,0.05,85240
2026-08-18,0050,66471402,7016506044,106.45,106.45,104.85,104.9,-1.55,134347
2026-08-19,0050,100818593,10411883849,103.05,103.85,102.7,103.1,-1.8,192749
2026-08-20,0050,43382378,4488617614,104.2,104.25,102.95,103.8,0.7,68638
2026-08-21,0050,41340817,4312427815,103.8,104.8,103.2,104.65,0.85,50553
2026-08-24,0050,44713618,4660940086,104.65,104.8,103.8,103.8,-0.85,83826
2026-08-25,0050,61162385,6298550541,102.9,104.4,102.4,104.4,0.6,116150
2026-08-26,0050,88919251,9385535872,104.1,106.05,103.5,105.9,1.5,82153
2026-08-27,0050,76015854,8101493444,106.5,107.0,105.9,106.05,0.15,62717
2026-08-28,0050,78158934,8369173993,107.1,107.35,106.7,106.95,0.9,70286
2026-08-31,0050,69132826,7292329546,105.6,106.25,105.0,106.25,-0.7,104298
2026-08-03,2881,22087574,2843293083,129.0,130.5,126.5,129.5,-0.5,10209
2026-08-04,2881,29296209,3772804932,127.0,131.0,127.0,128.5,-1.0,14215
2026-08-05,2881,15360465,2003522845,130.0,132.5,129.0,129.5,1.0,7581
2026-08-06,2881,19976468,2530786089,128.5,129.5,125.0,126.0,-3.5,14727
2026-08-07,2881,10827608,1373943065,127.0,128.0,126.0,127.0,1.0,5309
2026-08-10,2881,10410703,1331803733,128.0,129.0,125.5,128.5,1.5,6685
2026-08-11,2881,11108078,1425326016,129.5,129.5,127.5,128.0,-0.5,5295
2026-08-12,2881,9181394,1168803026,127.5,129.5,126.5,127.0,-1.0,6163
2026-08-13,2881,8749804,1121809789,128.0,129.0,127.0,128.5,1.5,4914
2026-08-14,2881,8926175,1151552821,128.5,130.0,128.0,129.5,1.0,4535
2026-08-17,2881,29364754,3675054683,127.0,127.0,123.5,125.5,-4.0,16303
2026-08-18,2881,22389687,2860497490,125.0,129.5,125.0,129.5,4.0,9981
2026-08-19,2881,12785616,1645092419,129.0,129.5,127.5,128.5,-1.0,5445
2026-08-20,2881,18713372,2385417390,128.5,130.0,125.5,128.0,-0.5,9043
2026-08-21,2881,38191506,5073973610,129.0,135.5,127.5,134.0,6.0,20349
2026-08-24,2881,13555025,1798117809,135.0,135.0,131.0,132.0,-2.0,13396
2026-08-25,2881,47095914,6567582536,134.0,142.5,132.5,141.5,9.5,27084
2026-08-26,2881,28710843,4006286461,140.0,143.5,138.0,138.5,-3.0,31598
