筆數,狀態,委託書號,盤別,交易類別,委託條件,股票名稱,原委託,價格,取消,成交,剩餘,來源別,委託時間,有效日期,詳細
1,完全成交,R001V,整股,融券賣出,ROD,玉晶光(3406),1,1050.00,0,1,0,XQTrade,13:25:44,2026/09/04,
2,完全成交,B03O8,整股,現股賣出,ROD,廣達(2382),1,跌停,0,1,0,XQTrade,13:25:32,2026/09/04,
3,完全成交,B03O3,整股,現股賣出,ROD,仁寶(2324),10,跌停,0,10,0,XQTrade,13:25:25,2026/09/04,
4,完全成交,B03NY,整股,現股賣出,ROD,緯創(3231),1,跌停,0,1,0,XQTrade,13:25:14,2026/09/04,
5,完全成交,B03NX,整股,現股賣出,ROD,聯電(2303),5,跌停,0,5,0,XQTrade,13:25:11,2026/09/04,
6,委託取消,R001U,整股,融資買進,ROD,玉晶光(3406),2,漲停,2,0,0,XQTrade,13:23:27,2026/09/04,
7,委託取消,R001T,整股,融資買進,ROD,玉晶光(3406),2,漲停,2,0,0,XQTrade,13:23:26,2026/09/04,
8,完全成交,B03MN,整股,現股買進,ROD,聯電(2303),1,130.00,0,1,0,XQTrade,13:22:47,2026/09/04,
9,委託取消,R001S,整股,融資買進,ROD,玉晶光(3406),1,1070.00,1,0,0,XQTrade,13:18:40,2026/09/04,
10,委託取消,R001R,整股,融資買進,ROD,玉晶光(3406),1,1065.00,1,0,0,XQTrade,13:16:50,2026/09/04,
11,委託取消,R001Q,整股,融資買進,ROD,玉晶光(3406),2,1060.00,2,0,0,XQTrade,13:13:47,2026/09/04,
12,委託取消,R001P,整股,融資買進,ROD,玉晶光(3406),2,漲停,2,0,0,XQTrade,13:12:43,2026/09/04,
13,委託取消,R001O,整股,融資買進,ROD,玉晶光(3406),2,漲停,2,0,0,XQTrade,13:12:42,2026/09/04,
14,完全成交,B03HI,整股,現股買進,ROD,華星光(4979),1,市價,0,1,0,XQTrade,13:05:48,2026/09/04,
15,委託取消,B03G8,整股,現股賣出,ROD,聯電(2303),1,136.00,1,0,0,XQTrade,13:00:58,2026/09/04,
16,委託取消,B03G7,整股,現股賣出,ROD,聯電(2303),1,135.00,1,0,0,XQTrade,13:00:57,2026/09/04,
17,委託取消,B03G6,整股,現股賣出,ROD,聯電(2303),1,134.00,1,0,0,XQTrade,13:00:55,2026/09/04,
18,委託取消,B03G5,整股,現股賣出,ROD,聯電(2303),1,133.00,1,0,0,XQTrade,13:00:54,2026/09/04,
19,完全成交,R001J,整股,融資買進,ROD,聯一光(3441),1,漲停,0,1,0,XQTrade,12:57:39,2026/09/04,
20,完全成交,B038J,整股,現股買進,ROD,緯創(3231),1,197.50,0,1,0,XQTrade,12:32:02,2026/09/04,
21,委託取消,B037Y,整股,現股賣出,ROD,仁寶(2324),1,42.10,1,0,0,XQTrade,12:29:18,2026/09/04,
22,委託取消,B037X,整股,現股賣出,ROD,仁寶(2324),1,42.20,1,0,0,XQTrade,12:29:15,2026/09/04,
23,完全成交,B037S,整股,現股買進,ROD,仁寶(2324),2,41.85,0,2,0,XQTrade,12:28:33,2026/09/04,
24,委託取消,B036Z,整股,現股賣出,ROD,仁寶(2324),1,42.30,1,0,0,XQTrade,12:25:15,2026/09/04,
25,委託取消,B036Y,整股,現股賣出,ROD,仁寶(2324),1,42.40,1,0,0,XQTrade,12:25:11,2026/09/04,
26,委託取消,B036W,整股,現股賣出,ROD,仁寶(2324),1,42.50,1,0,0,XQTrade,12:25:08,2026/09/04,
27,完全成交,B036G,整股,現股買進,ROD,仁寶(2324),2,41.70,0,2,0,XQTrade,12:23:17,2026/09/04,
28,委託取消,B035Z,整股,現股賣出,ROD,仁寶(2324),1,42.55,1,0,0,XQTrade,12:20:49,2026/09/04,
29,完全成交,B035U,整股,現股買進,ROD,仁寶(2324),2,41.40,0,2,0,XQTrade,12:20:29,2026/09/04,
30,委託取消,B035R,整股,現股賣出,ROD,仁寶(2324),1,42.45,1,0,0,XQTrade,12:19:54,2026/09/04,
31,委託取消,B035P,整股,現股賣出,ROD,仁寶(2324),1,42.35,1,0,0,XQTrade,12:19:52,2026/09/04,
32,完全成交,B034U,整股,現股買進,ROD,仁寶(2324),2,41.30,0,2,0,XQTrade,12:16:32,2026/09/04,
33,完全成交,R001D,整股,融資買進,ROD,聯一光(3441),1,漲停,0,1,0,XQTrade,12:14:51,2026/09/04,
34,委託取消,R001A,整股,融資買進,ROD,玉晶光(3406),1,1045.00,1,0,0,XQTrade,12:06:46,2026/09/04,
35,委託取消,R0019,整股,融資買進,ROD,玉晶光(3406),1,1040.00,1,0,0,XQTrade,12:05:02,2026/09/04,
36,委託取消,R0018,整股,融資買進,ROD,玉晶光(3406),1,1040.00,1,0,0,XQTrade,12:03:14,2026/09/04,
37,完全成交,R0017,整股,融資買進,ROD,玉晶光(3406),1,漲停,0,1,0,XQTrade,12:02:21,2026/09/04,
38,委託取消,B02UQ,整股,現股賣出,ROD,仁寶(2324),1,42.25,1,0,0,XQTrade,11:27:37,2026/09/04,
39,委託取消,B02UP,整股,現股賣出,ROD,仁寶(2324),1,42.15,1,0,0,XQTrade,11:27:35,2026/09/04,
40,完全成交,B02UM,整股,現股買進,ROD,仁寶(2324),2,40.95,0,2,0,XQTrade,11:27:03,2026/09/04,
41,完全成交,B02SP,整股,現股賣出,ROD,仁寶(2324),1,42.05,0,1,0,XQTrade,11:21:16,2026/09/04,
42,完全成交,B02SO,整股,現股賣出,ROD,仁寶(2324),1,41.90,0,1,0,XQTrade,11:21:13,2026/09/04,
43,完全成交,B02SN,整股,現股賣出,ROD,仁寶(2324),1,41.80,0,1,0,XQTrade,11:21:11,2026/09/04,
44,完全成交,B02SM,整股,現股賣出,ROD,仁寶(2324),1,41.70,0,1,0,XQTrade,11:21:09,2026/09/04,
45,完全成交,B02RS,整股,現股買進,ROD,仁寶(2324),2,41.10,0,2,0,XQTrade,11:18:35,2026/09/04,
46,完全成交,B02PX,整股,現股買進,ROD,廣達(2382),1,346.50,0,1,0,XQTrade,11:10:50,2026/09/04,
47,完全成交,B02PG,整股,現股買進,ROD,聯電(2303),2,130.00,0,2,0,XQTrade,11:09:47,2026/09/04,
48,完全成交,B02P2,整股,現股買進,ROD,仁寶(2324),2,40.90,0,2,0,XQTrade,11:07:46,2026/09/04,
49,委託取消,B02HY,整股,現股買進,ROD,富邦金(2881),1,150.50,1,0,0,XQTrade,10:41:43,2026/09/04,
50,委託失敗,00000,整股,融資買進,ROD,世紀*(5314),1,30.55,0,0,1,金閃電,10:26:44,2026/09/04,
51,完全成交,B02B5,整股,現股買進,ROD,創新服務(7828),1,1890.00,0,1,0,XQTrade,10:23:21,2026/09/04,
52,完全成交,B0225,整股,現股買進,ROD,聯電(2303),2,128.50,0,2,0,XQTrade,09:59:55,2026/09/04,
53,完全成交,B01I1,整股,現沖賣出,ROD,緯創(3231),1,194.50,0,1,0,XQTrade,09:29:12,2026/09/04,
54,委託取消,B01HU,整股,現股賣出,ROD,緯創(3231),1,195.00,1,0,0,XQTrade,09:29:02,2026/09/04,
55,完全成交,B01EI,整股,現股賣出,ROD,禾伸堂(3026),1,漲停,0,1,0,XQTrade,09:25:56,2026/09/04,
56,完全成交,B01EB,整股,現股買進,ROD,禾伸堂(3026),1,市價,0,1,0,XQTrade,09:25:40,2026/09/04,
57,完全成交,B01AV,整股,現股買進,ROD,緯創(3231),1,196.50,0,1,0,XQTrade,09:21:08,2026/09/04,
58,完全成交,B00FU,整股,融資賣出,ROD,聯發科(2454),1,4415.00,0,1,0,XQTrade,08:58:38,2026/09/04,
59,委託取消,B00DC,整股,融資賣出,ROD,聯發科(2454),1,4420.00,1,0,0,XQTrade,08:55:45,2026/09/04,
60,委託取消,B007Z,整股,融資賣出,ROD,聯發科(2454),1,4410.00,1,0,0,XQTrade,08:43:32,2026/09/04,
61,完全成交,B006L,整股,融資賣出,ROD,緯創(3231),1,190.50,0,1,0,XQTrade,08:38:40,2026/09/04,
