筆數,狀態,委託書號,盤別,交易類別,委託條件,股票名稱,原委託,價格,取消,成交,剩餘,來源別,委託時間,有效日期,詳細
1,完全成交,B03U1,整股,現股買進,ROD,友達(2409),5,29.45,0,5,0,XQTrade,13:25:20,2026/09/07,
2,完全成交,B03PT,整股,現股買進,ROD,南亞科(2408),1,516.00,0,1,0,XQTrade,13:14:26,2026/09/07,
3,完全成交,B03MI,整股,現股買進,ROD,友達(2409),5,29.10,0,5,0,XQTrade,13:03:27,2026/09/07,
4,完全成交,B03LE,整股,現股買進,ROD,友達(2409),20,市價,0,20,0,XQTrade,13:00:13,2026/09/07,
5,已刪除,B03K7,整股,現股買進,ROD,友達(2409),5,28.90,5,0,0,XQTrade,12:57:15,2026/09/07,
6,完全成交,B03F7,整股,現股買進,ROD,友達(2409),5,28.85,0,5,0,XQTrade,12:36:30,2026/09/07,
7,完全成交,B03DX,整股,現股買進,ROD,友達(2409),5,28.70,0,5,0,XQTrade,12:32:05,2026/09/07,
8,完全成交,B03CP,整股,現股買進,ROD,友達(2409),5,28.65,0,5,0,XQTrade,12:28:24,2026/09/07,
9,完全成交,B03CL,整股,現股買進,ROD,力積電(6770),1,72.60,0,1,0,XQTrade,12:27:57,2026/09/07,
10,完全成交,B03BR,整股,現股買進,ROD,友達(2409),5,28.35,0,5,0,XQTrade,12:23:26,2026/09/07,
11,完全成交,B030C,整股,現股賣出,ROD,南亞(1303),1,232.00,0,1,0,XQTrade,11:26:40,2026/09/07,
12,完全成交,B02WL,整股,現股賣出,ROD,創新服務(7828),1,1900.00,0,1,0,XQTrade,11:08:56,2026/09/07,
13,完全成交,B02VK,整股,現股買進,ROD,南亞(1303),1,233.50,0,1,0,XQTrade,11:06:02,2026/09/07,
14,已刪除,B02TF,整股,現股賣出,ROD,力積電(6770),1,73.80,1,0,0,XQTrade,10:58:17,2026/09/07,
15,已刪除,B02TC,整股,現股賣出,ROD,力積電(6770),1,73.90,1,0,0,XQTrade,10:58:05,2026/09/07,
16,已刪除,B02TB,整股,現股賣出,ROD,力積電(6770),1,73.70,1,0,0,XQTrade,10:58:02,2026/09/07,
17,完全成交,B02OC,整股,現股賣出,ROD,富喬(1815),3,130.00,0,3,0,XQTrade,10:41:55,2026/09/07,
18,已刪除,B02LP,整股,現股賣出,ROD,力積電(6770),1,75.10,1,0,0,XQTrade,10:34:29,2026/09/07,
19,已刪除,B02LE,整股,現股賣出,ROD,力積電(6770),1,75.20,1,0,0,XQTrade,10:33:23,2026/09/07,
20,完全成交,B02LC,整股,現股買進,ROD,力積電(6770),1,72.80,0,1,0,XQTrade,10:33:16,2026/09/07,
21,已刪除,B02IQ,整股,現股賣出,ROD,力積電(6770),1,75.00,1,0,0,XQTrade,10:26:52,2026/09/07,
22,完全成交,B02IC,整股,現股買進,ROD,力積電(6770),1,73.30,0,1,0,XQTrade,10:25:38,2026/09/07,
23,已刪除,B02HJ,整股,現股賣出,ROD,力積電(6770),1,74.80,1,0,0,XQTrade,10:23:52,2026/09/07,
24,完全成交,B02HG,整股,現股買進,ROD,力積電(6770),1,73.20,0,1,0,XQTrade,10:23:46,2026/09/07,
25,已刪除,B02GK,整股,現股賣出,ROD,力積電(6770),1,74.60,1,0,0,XQTrade,10:22:06,2026/09/07,
26,完全成交,B02GH,整股,現股買進,ROD,力積電(6770),1,72.90,0,1,0,XQTrade,10:22:02,2026/09/07,
27,完全成交,B02GE,整股,現股賣出,ROD,富喬(1815),1,129.00,0,1,0,XQTrade,10:21:51,2026/09/07,
28,已刪除,B02G4,整股,現股賣出,ROD,力積電(6770),1,74.40,1,0,0,XQTrade,10:21:21,2026/09/07,
29,已刪除,B02G3,整股,現股賣出,ROD,力積電(6770),1,74.20,1,0,0,XQTrade,10:21:19,2026/09/07,
30,已刪除,B02G1,整股,現股賣出,ROD,力積電(6770),1,74.00,1,0,0,XQTrade,10:21:18,2026/09/07,
31,已刪除,B02FY,整股,現股賣出,ROD,力積電(6770),1,73.80,1,0,0,XQTrade,10:21:10,2026/09/07,
32,完全成交,B02FW,整股,現股買進,ROD,力積電(6770),1,72.90,0,1,0,XQTrade,10:21:02,2026/09/07,
33,完全成交,B02FU,整股,現股買進,ROD,富喬(1815),4,市價,0,4,0,XQTrade,10:20:50,2026/09/07,
34,完全成交,B02FO,整股,現股買進,ROD,力積電(6770),1,72.70,0,1,0,XQTrade,10:19:53,2026/09/07,
35,完全成交,B02FL,整股,現股買進,ROD,力積電(6770),1,72.60,0,1,0,XQTrade,10:19:43,2026/09/07,
36,完全成交,B02DD,整股,現股買進,ROD,力積電(6770),2,72.20,0,2,0,XQTrade,10:14:52,2026/09/07,
37,完全成交,B027Q,整股,現股賣出,ROD,南亞(1303),2,234.00,0,2,0,XQTrade,10:02:56,2026/09/07,
38,完全成交,B025S,整股,現股賣出,ROD,聯電(2303),3,143.00,0,3,0,XQTrade,09:59:36,2026/09/07,
39,已刪除,B024R,整股,現股買進,ROD,聯電(2303),4,143.00,4,0,0,XQTrade,09:57:55,2026/09/07,
40,完全成交,B024Q,整股,現股賣出,ROD,聯電(2303),1,143.00,0,1,0,XQTrade,09:57:53,2026/09/07,
41,完全成交,B024H,整股,現股賣出,ROD,華城(1519),1,759.00,0,1,0,XQTrade,09:57:34,2026/09/07,
42,完全成交,B022Z,整股,現股買進,ROD,聯電(2303),4,143.00,0,4,0,XQTrade,09:55:05,2026/09/07,
43,已刪除,B021V,整股,現股賣出,ROD,創新服務(7828),1,2020.00,1,0,0,XQTrade,09:53:06,2026/09/07,
44,已刪除,B0201,整股,現股賣出,ROD,華城(1519),1,772.00,1,0,0,XQTrade,09:50:55,2026/09/07,
45,完全成交,R000H,整股,融券賣出,ROD,金居(8358),1,509.00,0,1,0,XQTrade,09:38:27,2026/09/07,
46,完全成交,B01O5,整股,現股買進,ROD,南亞(1303),1,238.00,0,1,0,XQTrade,09:33:50,2026/09/07,
47,已刪除,B01NA,整股,現股賣出,ROD,創新服務(7828),1,2115.00,1,0,0,XQTrade,09:32:53,2026/09/07,
48,完全成交,R000G,整股,融資買進,ROD,金居(8358),1,511.00,0,1,0,XQTrade,09:31:36,2026/09/07,
49,已刪除,B01KS,整股,現股買進,ROD,南亞(1303),1,237.00,1,0,0,XQTrade,09:29:52,2026/09/07,
50,完全成交,B01FH,整股,現股買進,ROD,華城(1519),1,770.00,0,1,0,XQTrade,09:23:44,2026/09/07,
51,完全成交,B01CV,整股,現股買進,ROD,南亞(1303),1,236.00,0,1,0,XQTrade,09:21:23,2026/09/07,
52,完全成交,B01C4,整股,現股賣出,ROD,南亞科(2408),1,518.00,0,1,0,XQTrade,09:20:38,2026/09/07,
53,完全成交,B0153,整股,現股買進,ROD,南亞科(2408),1,520.00,0,1,0,XQTrade,09:13:48,2026/09/07,
