open,high,low,close,change_price,change_rate,average_price,volume,total_volume,amount,total_amount,yesterday_volume,volume_ratio,date,stock_id,name,buy_price,buy_volume,sell_price,sell_volume,TickType
47335.24,47578.24,47023.73,47105.78,-220.49,-0.46,0.0,343483,9395579,64483205660,876662494920,10889433,0.86,2026-09-08 13:33:00,001,加權指數,,,,,
410.21,414.16,405.6,407.19,-2.14,-0.52,0.0,43251,1965960,9598497690,212923089410,1854958,1.06,2026-09-08 13:33:00,101,櫃檯買賣發行量加權股價指數,,,,,
236.0,239.5,229.0,235.0,4.5,1.95,234.78,68,64421,15980000,15125133500,75119,0.86,2026-09-08 14:30:00.000000,1303,,234.5,189.0,235.0,70.0,1.0
185.0,192.0,183.5,188.0,8.0,4.44,188.63,718,217792,134984000,41082814000,116787,1.86,2026-09-08 14:30:00.000000,2344,,188.0,82.0,188.5,582.0,2.0
527.0,540.0,524.0,531.0,14.0,2.7,533.9,151,73526,80181000,39255638000,55369,1.33,2026-09-08 14:30:00.000000,2408,,530.0,533.0,531.0,87.0,1.0
28.8,30.7,28.2,29.6,0.9,3.13,29.57,832,622022,24627200,18396571150,521244,1.19,2026-09-08 14:30:00.000000,2409,,29.6,1070.0,29.65,654.0,2.0
100.5,102.5,97.1,97.5,-1.6,-1.61,99.84,83,39725,8092500,3965960700,60635,0.66,2026-09-08 14:30:00.000000,2426,,97.5,46.0,97.6,3.0,2.0
4800.0,4830.0,4685.0,4710.0,-50.0,-1.05,4753.76,15,5845,70650000,27785075000,14583,0.4,2026-09-08 14:30:00.000000,2454,,4710.0,6.0,4715.0,20.0,2.0
528.0,535.0,506.0,515.0,15.0,3.0,522.39,3,4525,1545000,2363837000,3302,1.37,2026-09-08 14:30:00.000000,2455,,514.0,17.0,515.0,170.0,1.0
130.0,134.0,123.5,132.0,0.5,0.38,130.41,21,12106,2772000,1578866000,13617,0.89,2026-09-08 14:30:00.000000,3441,,131.0,97.0,131.5,14.0,1.0
73.2,75.3,71.9,72.4,-0.5,-0.68,73.25,304,171927,22009600,12594213100,240630,0.71,2026-09-08 14:30:00.000000,6770,,72.3,186.0,72.4,189.0,1.0
1890.0,2055.0,1890.0,2035.0,165.0,8.82,2014.95,3,701,6105000,1412480000,334,2.1,2026-09-08 14:30:00.000000,7828,,2035.0,2.0,2040.0,8.0,2.0
