date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2026-09-01,1303,129835537,31005102194,250.0,250.0,231.5,234.5,-8.0,110794
2026-09-02,1303,127824204,30793336784,240.0,248.0,232.0,237.5,3.0,106156
2026-09-03,1303,103990697,23734839689,243.0,244.5,219.5,221.0,-16.5,102382
2026-09-04,1303,67299234,15031119549,226.5,229.0,218.0,225.5,4.5,48266
2026-09-07,1303,75938138,17805322503,232.0,240.0,229.5,230.5,5.0,54652
2026-09-08,1303,65193109,15306594271,236.0,239.5,229.0,235.0,4.5,53932
2026-09-01,3711,26066376,15754421367,588.0,615.0,582.0,610.0,26.0,36249
2026-09-02,3711,17467250,10345914101,599.0,607.0,587.0,589.0,-21.0,36886
2026-09-03,3711,11637807,6921581069,595.0,605.0,585.0,589.0,0.0,18737
2026-09-04,3711,15751048,9245301728,600.0,603.0,578.0,588.0,-1.0,27695
2026-09-07,3711,27604665,17064702633,600.0,628.0,600.0,621.0,33.0,43701
2026-09-08,3711,13336567,8220755524,619.0,623.0,608.0,618.0,-3.0,18211
2026-09-01,2382,14159329,4804503366,337.0,342.0,335.5,342.0,3.5,14112
2026-09-02,2382,9424750,3182040634,338.0,341.5,336.0,337.0,-5.0,9673
2026-09-03,2382,11868856,4015981374,339.5,342.5,332.5,335.0,-2.0,11471
2026-09-04,2382,20571056,7095877034,340.5,347.0,340.5,345.0,10.0,20864
2026-09-07,2382,13614465,4687911938,350.0,351.5,340.5,347.5,2.5,13775
2026-09-08,2382,35435507,11741782175,344.5,344.5,328.0,328.0,-19.5,33632
2026-09-01,2303,223238022,29639493155,127.5,136.5,127.0,132.5,3.5,122649
2026-09-02,2303,136331797,17497864073,131.5,133.0,126.0,126.0,-6.5,101127
2026-09-03,2303,139492332,17565846193,127.5,129.0,123.0,125.0,-1.0,75404
2026-09-04,2303,142867105,18470733693,128.5,131.0,126.5,130.0,5.0,72525
2026-09-07,2303,337408282,47497656106,134.5,143.0,134.0,143.0,13.0,156875
2026-09-08,2303,219176053,30312382562,142.0,142.5,135.0,137.0,-6.0,148228
2026-09-01,3081,2633171,9145298685,3600.0,3600.0,3420.0,3425.0,-105.0,15288
2026-09-02,3081,3370648,11706952455,3425.0,3565.0,3375.0,3395.0,-30.0,12187
2026-09-03,3081,4200728,13789356315,3425.0,3485.0,3110.0,3120.0,-275.0,20348
2026-09-04,3081,5533009,17280695665,3245.0,3315.0,2980.0,3170.0,50.0,16833
2026-09-07,3081,3689775,11438506835,3220.0,3220.0,3000.0,3070.0,-100.0,19729
2026-09-08,3081,4084634,12117756030,3115.0,3150.0,2825.0,2865.0,-205.0,25517
2026-09-01,3374,22315773,9431574592,422.5,431.0,412.0,421.5,-1.0,27876
2026-09-02,3374,3821012,1607441508,418.0,430.0,413.0,419.5,-2.0,6356
2026-09-03,3374,4738737,1926694488,420.0,424.0,393.0,400.0,-19.5,8463
2026-09-04,3374,4976882,2089265098,420.0,430.0,403.0,430.0,30.0,8004
2026-09-07,3374,4790471,2205376794,448.0,472.5,436.0,469.5,39.5,9294
2026-09-08,3374,3580084,1692277247,474.0,482.5,456.0,475.0,5.5,7310
2026-09-01,7828,218096,391564860,1800.0,1845.0,1745.0,1810.0,45.0,3602
2026-09-02,7828,149082,265152390,1780.0,1810.0,1740.0,1760.0,-50.0,2360
2026-09-03,7828,234130,420047225,1770.0,1855.0,1720.0,1755.0,-5.0,1723
2026-09-04,7828,545115,1028108785,1810.0,1930.0,1775.0,1930.0,175.0,3283
2026-09-07,7828,371518,712135735,1990.0,2000.0,1855.0,1870.0,-60.0,6503
2026-09-08,7828,802220,1616977040,1890.0,2055.0,1890.0,2035.0,165.0,4776
