成交時間,交易類別,委託條件,股票名稱,成交數量,成交單價,成交價金,盤別
13:13:52,現股買進,ROD,禾伸堂(3026),1000,800.00,800000,整股
13:09:01,現股買進,ROD,友達(2409),5000,31.20,156000,整股
13:05:53,現股買進,ROD,力積電(6770),2000,74.10,148200,整股
13:05:51,現股買進,ROD,力積電(6770),1000,74.10,74100,整股
13:04:50,現股買進,ROD,友達(2409),1000,31.35,31350,整股
13:04:50,現股買進,ROD,友達(2409),1000,31.35,31350,整股
13:04:50,現股買進,ROD,友達(2409),2000,31.35,62700,整股
13:04:49,現股買進,ROD,友達(2409),1000,31.35,31350,整股
13:04:44,現股買進,ROD,友達(2409),5000,31.35,156750,整股
13:00:36,現股買進,ROD,力積電(6770),1000,73.90,73900,整股
13:00:25,現股買進,ROD,友達(2409),5000,31.10,155500,整股
12:55:35,現股買進,ROD,力積電(6770),2000,73.80,147600,整股
12:55:34,現股買進,ROD,力積電(6770),1000,73.80,73800,整股
12:50:40,現股買進,ROD,力積電(6770),1000,73.30,73300,整股
12:42:26,現股買進,ROD,南亞(1303),1000,243.50,243500,整股
12:32:29,現股買進,ROD,力積電(6770),2000,73.30,146600,整股
12:18:37,現股買進,ROD,力積電(6770),1000,73.20,73200,整股
12:00:37,現股買進,ROD,力積電(6770),1000,73.00,73000,整股
11:45:51,現股買進,ROD,南亞(1303),1000,241.00,241000,整股
11:45:47,現股買進,ROD,力積電(6770),1000,72.60,72600,整股
11:42:13,現股買進,ROD,力積電(6770),1000,72.70,72700,整股
11:41:24,現股買進,ROD,力積電(6770),1000,72.80,72800,整股
11:37:22,現股買進,ROD,力積電(6770),1000,72.90,72900,整股
11:23:01,現股買進,ROD,晶豪科(3006),1000,313.00,313000,整股
10:41:20,現股買進,ROD,聯電(2303),1000,143.50,143500,整股
10:05:05,現股買進,ROD,日月光投控(3711),1000,644.00,644000,整股
09:57:21,現股買進,ROD,聯電(2303),1000,143.50,143500,整股
09:46:34,現股買進,ROD,聯電(2303),1000,143.00,143000,整股
09:36:24,現股賣出,ROD,聯電(2303),1000,142.50,142500,整股
09:36:20,現股賣出,ROD,聯電(2303),2000,142.50,285000,整股
09:36:18,融資賣出,ROD,聯電(2303),2000,142.50,285000,整股
09:36:18,融資賣出,ROD,聯電(2303),1000,142.50,142500,整股
09:36:18,融資賣出,ROD,聯電(2303),1000,142.50,142500,整股
09:36:18,融資賣出,ROD,聯電(2303),4000,142.50,570000,整股
09:35:16,融資賣出,ROD,廣達(2382),1000,333.50,333500,整股
09:21:51,現股買進,ROD,聯電(2303),1000,145.00,145000,整股
09:08:59,融資賣出,ROD,聯電(2303),1000,145.50,145500,整股
09:08:57,現股買進,ROD,聯電(2303),1000,145.00,145000,整股
09:07:03,現股買進,ROD,聯電(2303),1000,144.50,144500,整股
09:06:37,融資賣出,ROD,聯電(2303),1000,145.00,145000,整股
09:02:10,融資賣出,ROD,日月光投控(3711),1000,643.00,643000,整股
09:00:54,現股賣出,ROD,台積電(2330),2000,2450.00,4900000,整股
09:00:15,融資賣出,ROD,聯電(2303),1000,144.50,144500,整股
09:00:15,融資賣出,ROD,聯電(2303),1000,144.00,144000,整股
09:00:09,現股買進,ROD,台積電(2330),2000,2445.00,4890000,整股
09:00:07,融資賣出,ROD,聯電(2303),1000,143.50,143500,整股
