stock_id,close,change_rate,total_volume,total_amount
001,46940.49,-0.51,8567049,713972283560
002,41870.07,-0.59,3418322,629544207303
036,1590.0,-0.26,793888,226064909469
101,405.24,-0.69,1781167,173138376240
040,895.89,-2.26,398702,167232447364
008,1177.27,0.87,1015612,112132549753
003,25775.04,-0.14,1395149,95860909500
034,16710.91,-0.51,944108,77246101545
037,470.94,-0.07,264908,56664085989
038,75.21,-1.57,818005,52662409091
2330,2450.0,-0.6,17408,42579170000
2308,1675.0,-6.68,17099,28980320000
2303,142.5,0.7,201919,28903562000
2454,4720.0,2.05,6073,28158545000
043,274.29,-1.56,87803,25717941621
010,16349.78,-0.62,111485,20952819948
2327,572.0,1.23,36529,20429698000
2408,515.0,-1.52,37158,19118581000
031,3516.23,0.33,451041,18614807955
014,3516.23,0.33,451041,18614807955
039,233.87,-0.57,63437,18373645984
017,401.22,1.66,175924,18003088559
3037,994.0,0.1,18304,17995337000
3231,185.0,-2.11,87567,16376711000
019,544.0,-1.75,40882,16307197001
