stock_id,open,high,low,close,change_price,change_rate,avg_price,total_volume,date
1303,237.0,245.5,232.0,244.0,7.5,3.17,,58439,2026-09-10 13:30:00.000000
2303,142.5,145.5,141.0,142.5,1.0,0.7,,201919,2026-09-10 13:30:00.000000
2330,2445.0,2455.0,2435.0,2450.0,-15.0,-0.6,,17408,2026-09-10 13:30:00.000000
2382,336.5,340.5,332.0,336.0,-6.0,-1.75,,13194,2026-09-10 13:30:00.000000
2409,30.2,31.5,29.2,31.2,0.7,2.29,,494787,2026-09-10 13:30:00.000000
3006,305.0,319.0,302.0,312.0,5.5,1.79,,25806,2026-09-10 13:30:00.000000
3026,763.0,826.0,730.0,803.0,45.0,5.93,,13410,2026-09-10 13:30:00.000000
3711,641.0,653.0,635.0,650.0,10.0,1.56,,16336,2026-09-10 13:30:00.000000
6173,268.5,295.0,265.5,295.0,26.5,9.86,,21350,2026-09-10 13:30:00.000000
6770,72.1,74.2,71.3,73.5,1.1,1.51,,142798,2026-09-10 13:30:00.000000
