成交日期,股票名稱,交易類別,成交股數,成交價格,成交價金,手續費,交易稅,應收付金額,融資自備款/融券擔保品,融資金額/融券保證金,債息/利息,融券手續費/標借費用
2026/09/16,聯電(2303),現沖買進,2000,141.00,282000,54,0,-282054,0,0,0,0
2026/09/16,聯電(2303),現沖買進,1000,141.50,141500,27,0,-141527,0,0,0,0
2026/09/16,聯電(2303),現沖賣出,2000,141.00,282000,54,423,281523,0,0,0,0
2026/09/16,聯電(2303),現沖賣出,1000,142.50,142500,27,213,142260,0,0,0,0
2026/09/16,聯電(2303),現股買進,1000,141.50,141500,28,0,-141528,0,0,0,0
2026/09/16,聯電(2303),現股買進,2000,142.00,284000,55,0,-284055,0,0,0,0
2026/09/16,聯電(2303),現股買進,1000,142.00,142000,27,0,-142027,0,0,0,0
2026/09/16,聯電(2303),現股買進,1000,142.00,142000,27,0,-142027,0,0,0,0
2026/09/16,台積電(2330),現沖買進,2000,2380.00,4760000,928,0,-4760928,0,0,0,0
2026/09/16,台積電(2330),現沖買進,2000,2380.00,4760000,928,0,-4760928,0,0,0,0
2026/09/16,台積電(2330),現沖賣出,2000,2385.00,4770000,930,7155,4761915,0,0,0,0
2026/09/16,台積電(2330),現沖賣出,2000,2385.00,4770000,930,7155,4761915,0,0,0,0
2026/09/16,友達(2409),現沖買進,5000,28.75,143750,28,0,-143778,0,0,0,0
2026/09/16,友達(2409),現沖買進,5000,28.75,143750,28,0,-143778,0,0,0,0
2026/09/16,友達(2409),現沖賣出,5000,29.45,147250,28,220,147002,0,0,0,0
2026/09/16,友達(2409),現沖賣出,5000,29.55,147750,28,221,147501,0,0,0,0
2026/09/16,友達(2409),現股買進,5000,28.95,144750,28,0,-144778,0,0,0,0
2026/09/16,友達(2409),現股買進,5000,29.00,145000,28,0,-145028,0,0,0,0
2026/09/16,友達(2409),現股買進,5000,29.10,145500,28,0,-145528,0,0,0,0
2026/09/16,友達(2409),現股買進,5000,29.10,145500,28,0,-145528,0,0,0,0
2026/09/16,友達(2409),現股買進,5000,29.15,145750,28,0,-145778,0,0,0,0
2026/09/16,友達(2409),現股買進,5000,29.25,146250,28,0,-146278,0,0,0,0
2026/09/16,友達(2409),現股買進,5000,29.35,146750,28,0,-146778,0,0,0,0
2026/09/16,友達(2409),現股買進,5000,29.45,147250,28,0,-147278,0,0,0,0
2026/09/16,聯發科(2454),現沖買進,1000,4595.00,4595000,896,0,-4595896,0,0,0,0
2026/09/16,聯發科(2454),現沖賣出,1000,4615.00,4615000,899,6922,4607179,0,0,0,0
2026/09/16,嘉晶(3016),現股買進,1000,115.50,115500,22,0,-115522,0,0,0,0
2026/09/16,穩懋(3105),現股買進,1000,471.50,471500,91,0,-471591,0,0,0,0
2026/09/16,聯一光(3441),現股賣出,1000,171.00,171000,33,513,170454,0,0,0,0
2026/09/16,聯一光(3441),現股賣出,1000,173.00,173000,33,519,172448,0,0,0,0
2026/09/16,前鼎(4908),現股買進,1000,239.00,239000,46,0,-239046,0,0,0,0
2026/09/16,頎邦(6147),現股買進,1000,207.00,207000,40,0,-207040,0,0,0,0
2026/09/16,信昌電(6173),現沖買進,1000,305.00,305000,59,0,-305059,0,0,0,0
2026/09/16,信昌電(6173),現沖買進,1000,307.50,307500,59,0,-307559,0,0,0,0
2026/09/16,信昌電(6173),現沖買進,1000,309.50,309500,60,0,-309560,0,0,0,0
2026/09/16,信昌電(6173),現沖買進,1000,311.50,311500,60,0,-311560,0,0,0,0
2026/09/16,信昌電(6173),現沖賣出,1000,314.00,314000,61,471,313468,0,0,0,0
2026/09/16,信昌電(6173),現沖賣出,1000,316.00,316000,61,474,315465,0,0,0,0
2026/09/16,信昌電(6173),現沖賣出,1000,318.00,318000,62,477,317461,0,0,0,0
2026/09/16,信昌電(6173),現沖賣出,1000,320.00,320000,62,480,319458,0,0,0,0
2026/09/16,力積電(6770),現股買進,3000,69.50,208500,40,0,-208540,0,0,0,0
2026/09/16,力積電(6770),現股買進,3000,69.80,209400,40,0,-209440,0,0,0,0
2026/09/16,力積電(6770),現股買進,1000,69.90,69900,13,0,-69913,0,0,0,0
 ,小計,,,,35943050,6988,25243,-3002281,0,0,0,0
