stock_id,open,high,low,close,spread,money
2303,139.5,142.5,138.0,142.0,3.5,16520423024
2330,2375.0,2395.0,2375.0,2380.0,0.0,49812874845
2409,28.2,29.6,28.15,29.4,1.5,7620349912
2454,4435.0,4625.0,4435.0,4530.0,100.0,30218038043
3016,110.5,116.0,107.5,115.5,5.5,2154436181
3105,469.0,473.0,454.0,472.5,18.5,13588753132
3441,170.0,186.0,170.0,186.0,16.5,3470452654
4908,226.0,243.0,223.5,240.5,16.5,2559971579
6147,201.5,207.5,197.5,207.5,7.5,13173489176
6173,304.0,323.0,295.0,315.0,20.5,8691940707
6770,67.8,70.0,67.8,69.9,3.0,6365633387
