成交日期,買賣別,商品名稱,口數,成交價,損益,手續費,交易稅,淨損益,幣別,盤別
2026/09/17,賣出,微型台指10,1,46691.0000,410.00,12.00,9.00,368.00,台幣,一般
2026/09/17,買進,微型台指10,1,46650.0000,,12.00,9.00,,,一般
2026/09/17,賣出,微型台指10,1,46840.0000,160.00,12.00,9.00,118.00,台幣,一般
2026/09/17,買進,微型台指10,1,46824.0000,,12.00,9.00,,,一般
2026/09/17,賣出,微型台指10,1,46900.0000,110.00,12.00,9.00,68.00,台幣,一般
2026/09/17,買進,微型台指10,1,46889.0000,,12.00,9.00,,,一般
2026/09/17,買進,微型台指10,1,46770.0000,-540.00,12.00,9.00,-582.00,台幣,一般
2026/09/17,賣出,微型台指10,1,46716.0000,,12.00,9.00,,,一般
2026/09/17,賣出,微型台指10,1,46735.0000,180.00,12.00,9.00,138.00,台幣,一般
2026/09/17,買進,微型台指10,1,46717.0000,,12.00,9.00,,,一般
2026/09/17,賣出,微型台指10,1,46640.0000,-750.00,12.00,9.00,-792.00,台幣,一般
2026/09/17,買進,微型台指10,1,46715.0000,,12.00,9.00,,,一般
