成交時間,委託書號,買賣別,商品名稱,成交口數,成交單價,倉別,現價,盤別
2026/09/17 10:23:05,0AgLZ,賣出,微型台指106,1,46640.0000,平倉,46631.0000,一般
2026/09/17 10:16:13,0Agnl,買進,微型台指106,1,46715.0000,新倉,46631.0000,一般
2026/09/17 10:10:15,0Af8I,賣出,微型台指106,1,46735.0000,平倉,46631.0000,一般
2026/09/17 10:10:06,0Af7r,買進,微型台指106,1,46717.0000,新倉,46631.0000,一般
2026/09/17 10:05:13,0AfSU,買進,微型台指106,1,46770.0000,平倉,46631.0000,一般
2026/09/17 10:03:39,0AfPo,賣出,微型台指106,1,46716.0000,新倉,46631.0000,一般
2026/09/17 09:24:54,0Ac3x,賣出,微型台指106,1,46900.0000,平倉,46631.0000,一般
2026/09/17 09:21:55,0AcVy,買進,微型台指106,1,46889.0000,新倉,46631.0000,一般
2026/09/17 09:19:44,0AcIV,賣出,微型台指106,1,46840.0000,平倉,46631.0000,一般
2026/09/17 09:19:25,0AcHv,買進,微型台指106,1,46824.0000,新倉,46631.0000,一般
2026/09/17 09:06:36,0Abp8,賣出,微型台指106,1,46691.0000,平倉,46631.0000,一般
2026/09/17 09:06:15,0AbnL,買進,微型台指106,1,46650.0000,新倉,46631.0000,一般
