狀態,委託時間,委託書號,買賣別,商品名稱,委託價格,原委託,取消,成交,剩餘,倉別,委託條件,來源別,有效日期,盤別,詳細
完全成交,2026/09/17 10:23:04,0AgLZ,賣出,微型台指106,46640.0000,1,0,1,0,平倉,ROD,全都賺,2026/09/17,一般,
委託取消,2026/09/17 10:22:51,0AgKY,賣出,微型台指106,46652.0000,1,1,0,0,平倉,ROD,全都賺,2026/09/17,一般,
委託取消,2026/09/17 10:22:14,0AgG9,賣出,微型台指106,46651.0000,1,1,0,0,平倉,ROD,全都賺,2026/09/17,一般,
委託取消,2026/09/17 10:21:06,0AgDU,賣出,微型台指106,46702.0000,1,1,0,0,平倉,ROD,全都賺,2026/09/17,一般,
委託取消,2026/09/17 10:20:43,0AgDp,賣出,微型台指106,46700.0000,1,1,0,0,平倉,ROD,全都賺,2026/09/17,一般,
委託取消,2026/09/17 10:19:26,0AgAE,賣出,微型台指106,46720.0000,1,1,0,0,平倉,ROD,全都賺,2026/09/17,一般,
委託取消,2026/09/17 10:19:05,0AgzO,賣出,微型台指106,46720.0000,1,1,0,0,平倉,ROD,全都賺,2026/09/17,一般,
委託取消,2026/09/17 10:18:47,0Agze,賣出,微型台指106,46725.0000,1,1,0,0,平倉,ROD,全都賺,2026/09/17,一般,
完全成交,2026/09/17 10:16:09,0Agnl,買進,微型台指106,46715.0000,1,0,1,0,新倉,ROD,全都賺,2026/09/17,一般,
委託取消,2026/09/17 10:15:54,0Agl3,買進,微型台指106,46717.0000,1,1,0,0,新倉,ROD,全都賺,2026/09/17,一般,
委託取消,2026/09/17 10:15:31,0AgkJ,買進,微型台指106,46710.0000,1,1,0,0,新倉,ROD,全都賺,2026/09/17,一般,
委託取消,2026/09/17 10:14:51,0Agit,買進,微型台指106,46725.0000,1,1,0,0,新倉,ROD,全都賺,2026/09/17,一般,
委託取消,2026/09/17 10:11:38,0Agbw,買進,微型台指106,46717.0000,1,1,0,0,新倉,ROD,全都賺,2026/09/17,一般,
委託取消,2026/09/17 10:11:27,0Agbf,買進,微型台指106,46717.0000,1,1,0,0,新倉,ROD,全都賺,2026/09/17,一般,
完全成交,2026/09/17 10:10:14,0Af8I,賣出,微型台指106,46735.0000,1,0,1,0,平倉,ROD,全都賺,2026/09/17,一般,
完全成交,2026/09/17 10:09:57,0Af7r,買進,微型台指106,46717.0000,1,0,1,0,新倉,ROD,全都賺,2026/09/17,一般,
委託取消,2026/09/17 10:09:29,0Af5X,買進,微型台指106,46713.0000,1,1,0,0,新倉,ROD,全都賺,2026/09/17,一般,
委託取消,2026/09/17 10:08:43,0Af23,買進,微型台指106,46720.0000,1,1,0,0,新倉,ROD,全都賺,2026/09/17,一般,
完全成交,2026/09/17 10:05:11,0AfSU,買進,微型台指106,46770.0000,1,0,1,0,平倉,ROD,全都賺,2026/09/17,一般,
完全成交,2026/09/17 10:03:38,0AfPo,賣出,微型台指106,46716.0000,1,0,1,0,新倉,ROD,全都賺,2026/09/17,一般,
委託取消,2026/09/17 10:03:31,0AfO5,賣出,微型台指106,46725.0000,1,1,0,0,新倉,ROD,全都賺,2026/09/17,一般,
委託取消,2026/09/17 10:02:04,0AfJJ,買進,微型台指106,46688.0000,1,1,0,0,新倉,ROD,全都賺,2026/09/17,一般,
委託取消,2026/09/17 10:00:53,0AfFh,買進,微型台指106,46680.0000,1,1,0,0,新倉,ROD,全都賺,2026/09/17,一般,
委託取消,2026/09/17 09:57:48,0AfuG,賣出,微型台指106,46720.0000,1,1,0,0,新倉,ROD,全都賺,2026/09/17,一般,
委託取消,2026/09/17 09:56:50,0Afqa,賣出,微型台指106,46720.0000,1,1,0,0,新倉,ROD,全都賺,2026/09/17,一般,
委託取消,2026/09/17 09:56:28,0Afpr,賣出,微型台指106,46727.0000,1,1,0,0,新倉,ROD,全都賺,2026/09/17,一般,
委託取消,2026/09/17 09:56:12,0Afo3,賣出,微型台指106,46730.0000,1,1,0,0,新倉,ROD,全都賺,2026/09/17,一般,
完全成交,2026/09/17 09:23:35,0Ac3x,賣出,微型台指106,46900.0000,1,0,1,0,平倉,ROD,全都賺,2026/09/17,一般,
委託取消,2026/09/17 09:22:29,0AcXX,賣出,微型台指106,46910.0000,1,1,0,0,平倉,ROD,全都賺,2026/09/17,一般,
完全成交,2026/09/17 09:21:54,0AcVy,買進,微型台指106,46889.0000,1,0,1,0,新倉,ROD,全都賺,2026/09/17,一般,
委託取消,2026/09/17 09:21:30,0AcS7,買進,微型台指106,46864.0000,1,1,0,0,新倉,ROD,全都賺,2026/09/17,一般,
完全成交,2026/09/17 09:19:36,0AcIV,賣出,微型台指106,46840.0000,1,0,1,0,平倉,ROD,全都賺,2026/09/17,一般,
完全成交,2026/09/17 09:19:23,0AcHv,買進,微型台指106,46824.0000,1,0,1,0,新倉,ROD,全都賺,2026/09/17,一般,
委託取消,2026/09/17 09:16:50,0Acvk,買進,微型台指106,46820.0000,1,1,0,0,新倉,ROD,全都賺,2026/09/17,一般,
完全成交,2026/09/17 09:06:34,0Abp8,賣出,微型台指106,46691.0000,1,0,1,0,平倉,ROD,全都賺,2026/09/17,一般,
完全成交,2026/09/17 09:06:08,0AbnL,買進,微型台指106,46650.0000,1,0,1,0,新倉,ROD,全都賺,2026/09/17,一般,
委託取消,2026/09/17 09:03:52,0Abew,買進,微型台指106,46521.0000,1,1,0,0,新倉,ROD,全都賺,2026/09/17,一般,
