成交日期,股票名稱,交易類別,成交股數,成交價格,成交價金,手續費,交易稅,應收付金額,融資自備款/融券擔保品,融資金額/融券保證金,債息/利息,融券手續費/標借費用
2026/09/17,南亞(1303),現沖買進,1000,231.00,231000,45,0,-231045,0,0,0,0
2026/09/17,南亞(1303),現沖買進,1000,236.50,236500,46,0,-236546,0,0,0,0
2026/09/17,南亞(1303),現沖買進,1000,237.00,237000,46,0,-237046,0,0,0,0
2026/09/17,南亞(1303),現沖賣出,1000,238.50,238500,46,357,238097,0,0,0,0
2026/09/17,南亞(1303),現沖賣出,1000,235.00,235000,45,352,234603,0,0,0,0
2026/09/17,南亞(1303),現沖賣出,1000,234.50,234500,45,351,234104,0,0,0,0
2026/09/17,南亞(1303),現股買進,1000,237.50,237500,46,0,-237546,0,0,0,0
2026/09/17,聯電(2303),現沖買進,2000,147.00,294000,57,0,-294057,0,0,0,0
2026/09/17,聯電(2303),現沖買進,2000,147.50,295000,57,0,-295057,0,0,0,0
2026/09/17,聯電(2303),現沖賣出,2000,146.50,293000,57,439,292504,0,0,0,0
2026/09/17,聯電(2303),現沖賣出,2000,146.00,292000,56,438,291506,0,0,0,0
2026/09/17,聯電(2303),現股買進,1000,147.50,147500,28,0,-147528,0,0,0,0
2026/09/17,聯電(2303),現股買進,2000,149.00,298000,58,0,-298058,0,0,0,0
2026/09/17,聯電(2303),現股買進,1000,147.50,147500,28,0,-147528,0,0,0,0
2026/09/17,聯電(2303),現股買進,2000,148.50,297000,57,0,-297057,0,0,0,0
2026/09/17,聯電(2303),融資賣出,1000,144.50,144500,28,433,59011,59500,85000,28,0
2026/09/17,聯電(2303),融資賣出,1000,144.50,144500,28,433,60011,60500,84000,28,0
2026/09/17,聯電(2303),融資賣出,1000,144.50,144500,28,433,59011,59500,85000,28,0
2026/09/17,聯電(2303),融資賣出,1000,144.50,144500,28,433,59011,59500,85000,28,0
2026/09/17,聯電(2303),融資賣出,1000,145.00,145000,28,435,59509,60000,85000,28,0
2026/09/17,台積電(2330),現沖買進,2000,2430.00,4860000,947,0,-4860947,0,0,0,0
2026/09/17,台積電(2330),現沖賣出,1000,2430.00,2430000,473,3645,2425882,0,0,0,0
2026/09/17,台積電(2330),現沖賣出,1000,2430.00,2430000,473,3645,2425882,0,0,0,0
2026/09/17,友達(2409),現股買進,5000,30.25,151250,29,0,-151279,0,0,0,0
2026/09/17,友達(2409),現股買進,5000,30.30,151500,29,0,-151529,0,0,0,0
2026/09/17,友達(2409),融資賣出,4000,29.75,119000,23,357,49597,50000,69000,23,0
2026/09/17,友達(2409),融資賣出,4000,29.75,119000,23,357,48597,49000,70000,23,0
2026/09/17,友達(2409),融資賣出,4000,29.75,119000,23,357,49597,50000,69000,23,0
2026/09/17,友達(2409),融資賣出,4000,29.80,119200,23,357,48797,49200,70000,23,0
2026/09/17,友達(2409),融資賣出,4000,29.90,119600,23,358,50196,50600,69000,23,0
2026/09/17,友達(2409),融資賣出,4000,30.00,120000,23,360,49594,50000,70000,23,0
2026/09/17,友達(2409),融資賣出,4000,30.10,120400,23,361,49993,50400,70000,23,0
2026/09/17,友達(2409),融資賣出,4000,30.20,120800,23,362,50392,50800,70000,23,0
2026/09/17,友達(2409),融資賣出,4000,30.30,121200,23,363,50791,51200,70000,23,0
2026/09/17,友達(2409),融資賣出,4000,30.40,121600,23,364,51190,51600,70000,23,0
2026/09/17,嘉晶(3016),融資賣出,1000,117.00,117000,22,351,47604,48000,69000,23,0
2026/09/17,穩懋(3105),融資賣出,1000,482.00,482000,93,1446,245384,247000,235000,77,0
2026/09/17,緯創(3231),現沖買進,1000,187.50,187500,36,0,-187536,0,0,0,0
2026/09/17,緯創(3231),現沖賣出,1000,186.50,186500,36,279,186185,0,0,0,0
2026/09/17,前鼎(4908),融資賣出,1000,245.00,245000,47,735,125179,126000,119000,39,0
2026/09/17,頎邦(6147),融資賣出,1000,212.50,212500,41,637,87781,88500,124000,41,0
2026/09/17,力積電(6770),現股買進,4000,71.50,286000,55,0,-286055,0,0,0,0
2026/09/17,力積電(6770),現股買進,4000,71.90,287600,56,0,-287656,0,0,0,0
2026/09/17,力積電(6770),現股買進,4000,71.90,287600,56,0,-287656,0,0,0,0
2026/09/17,力積電(6770),融資賣出,1000,70.50,70500,13,211,28262,28500,42000,14,0
2026/09/17,力積電(6770),融資賣出,1000,70.50,70500,13,211,28262,28500,42000,14,0
2026/09/17,力積電(6770),融資賣出,1000,70.60,70600,13,211,29363,29600,41000,13,0
2026/09/17,力積電(6770),融資賣出,1000,70.80,70800,13,212,28561,28800,42000,14,0
2026/09/17,力積電(6770),融資賣出,1000,71.00,71000,13,213,28760,29000,42000,14,0
2026/09/17,力積電(6770),融資賣出,1000,71.20,71200,13,213,29961,30200,41000,13,0
2026/09/17,力積電(6770),融資賣出,1000,71.40,71400,13,214,30160,30400,41000,13,0
 ,小計,,,,18447250,3571,19923,-800789,1516300,1959000,645,0
