成交時間,交易類別,委託條件,股票名稱,成交數量,成交單價,成交價金,盤別
12:55:39,現股買進,ROD,頎邦(6147),1000,225.50,225500,整股
12:27:24,現股買進,ROD,頎邦(6147),1000,224.00,224000,整股
12:04:22,現股買進,ROD,國巨*(2327),1000,546.00,546000,整股
11:50:18,現股買進,ROD,穩懋(3105),1000,497.50,497500,整股
11:46:02,現股買進,ROD,頎邦(6147),1000,223.00,223000,整股
11:42:56,現股買進,ROD,國巨*(2327),1000,541.00,541000,整股
11:05:49,現股買進,ROD,聯電(2303),2000,156.00,312000,整股
10:52:35,現股買進,ROD,禾伸堂(3026),1000,784.00,784000,整股
10:48:34,現股賣出,ROD,南亞科(2408),1000,519.00,519000,整股
10:47:28,現股賣出,ROD,聯電(2303),1000,155.00,155000,整股
10:47:28,現股賣出,ROD,聯電(2303),1000,155.00,155000,整股
10:36:26,現股買進,ROD,聯電(2303),2000,155.50,311000,整股
10:35:57,現股買進,ROD,南亞科(2408),1000,522.00,522000,整股
10:09:46,現股買進,ROD,聯電(2303),2000,155.50,311000,整股
09:38:45,現股買進,ROD,南亞科(2408),1000,517.00,517000,整股
09:35:07,現股賣出,ROD,頎邦(6147),1000,227.00,227000,整股
09:27:05,現股賣出,ROD,聯電(2303),1000,155.00,155000,整股
09:23:57,現股買進,ROD,頎邦(6147),1000,223.00,223000,整股
09:15:04,現股賣出,ROD,力積電(6770),1000,72.80,72800,整股
09:15:04,現股賣出,ROD,力積電(6770),1000,72.80,72800,整股
09:15:04,現股賣出,ROD,力積電(6770),2000,72.80,145600,整股
09:10:52,現股賣出,ROD,力積電(6770),1000,73.40,73400,整股
09:10:28,現股買進,ROD,聯電(2303),1000,157.50,157500,整股
09:09:03,現股買進,ROD,力積電(6770),2000,73.90,147800,整股
09:02:50,現股買進,ROD,力積電(6770),1000,73.90,73900,整股
09:02:50,現股買進,ROD,力積電(6770),1000,73.90,73900,整股
09:01:34,現股賣出,ROD,力積電(6770),1000,74.00,74000,整股
09:00:21,現股賣出,ROD,力積電(6770),1000,73.80,73800,整股
09:00:18,現股賣出,ROD,力積電(6770),1000,73.60,73600,整股
09:00:11,現股賣出,ROD,力積電(6770),1000,73.40,73400,整股
09:00:03,現股賣出,ROD,力積電(6770),1000,73.20,73200,整股
09:00:01,現股賣出,ROD,力積電(6770),1000,73.00,73000,整股
09:00:01,現股賣出,ROD,力積電(6770),1000,73.00,73000,整股
09:00:01,現股賣出,ROD,力積電(6770),1000,73.00,73000,整股
09:00:01,現股賣出,ROD,力積電(6770),1000,73.00,73000,整股
09:00:01,現股賣出,ROD,力積電(6770),1000,73.00,73000,整股
09:00:01,現股賣出,ROD,力積電(6770),1000,73.00,73000,整股
09:00:00,現股賣出,ROD,南亞(1303),1000,240.50,240500,整股
09:00:00,現股賣出,ROD,聯電(2303),1000,155.00,155000,整股
09:00:00,現股賣出,ROD,聯電(2303),1000,155.00,155000,整股
09:00:00,現股賣出,ROD,聯電(2303),1000,155.00,155000,整股
09:00:00,現股賣出,ROD,聯電(2303),1000,155.00,155000,整股
09:00:00,現股賣出,ROD,聯電(2303),1000,155.00,155000,整股
09:00:00,現股賣出,ROD,聯電(2303),1000,155.00,155000,整股
09:00:00,現股賣出,ROD,友達(2409),2000,30.75,61500,整股
09:00:00,現股賣出,ROD,友達(2409),2000,30.75,61500,整股
09:00:00,現股賣出,ROD,友達(2409),2000,30.75,61500,整股
09:00:00,現股賣出,ROD,友達(2409),1000,30.75,30750,整股
09:00:00,現股賣出,ROD,友達(2409),1000,30.75,30750,整股
09:00:00,現股賣出,ROD,友達(2409),2000,30.75,61500,整股
