股票名稱,成交日期,交易類別,成交股數,帳面收入,持有成本,損益,報酬率,明細,自設持有成本,設定,新持有成本
聯電(2303),2026/09/21,現股賣出,4000,625499,593614,31885,5.37%,,0,,0
國巨*(2327),2026/09/21,融資賣出,2000,457376,436211,21165,4.85%,,0,,0
禾伸堂(3026),2026/09/21,融資賣出,1000,406398,392152,14246,3.63%,,0,,0
穩懋(3105),2026/09/21,融資賣出,1000,203360,199597,3763,1.89%,,0,,0
頎邦(6147),2026/09/21,融資賣出,3000,274289,270629,3660,1.35%,,0,,0
南亞科(2408),2026/09/21,融資賣出,1000,206302,209101,-2799,-1.34%,,0,,0
日月光投控(3711),2026/09/21,現股互抵賣出,1000,657884,662129,-4245,-0.64%,,0,,0
順達(3211),2026/09/21,現股互抵賣出,1000,395829,389575,6254,1.61%,,0,,0
京元電子(2449),2026/09/21,現股互抵賣出,1000,301489,302558,-1069,-0.35%,,0,,0
頎邦(6147),2026/09/21,現股互抵賣出,1000,225617,229544,-3927,-1.71%,,0,,0
