筆數,狀態,委託書號,盤別,交易類別,委託條件,股票名稱,原委託,價格,取消,成交,剩餘,來源別,委託時間,有效日期,詳細
1,委託成功,B0463,整股,融資買進,ROD,聯發科(2454),1,5050.00,0,0,1,XQTrade,13:27:12,2026/09/22,
2,完全成交,F01IX,盤中零股,現股賣出,ROD,廣積(8050),30股,53.20,0,30股,0股,XQTrade,13:26:07,2026/09/22,
3,完全成交,B03WW,整股,現股買進,ROD,群創(3481),4,51.10,0,4,0,XQTrade,13:04:58,2026/09/22,
4,完全成交,B03R0,整股,現股買進,ROD,群創(3481),4,51.00,0,4,0,XQTrade,12:39:13,2026/09/22,
5,完全成交,B03B1,整股,現股買進,ROD,國巨*(2327),1,585.00,0,1,0,XQTrade,11:36:13,2026/09/22,
6,完全成交,B02XH,整股,現股賣出,ROD,群創(3481),2,51.70,0,2,0,XQTrade,10:47:59,2026/09/22,
7,完全成交,B02X3,整股,現沖賣出,ROD,群創(3481),8,51.80,0,8,0,XQTrade,10:47:20,2026/09/22,
8,完全成交,B02VM,整股,現股賣出,ROD,穩懋(3105),1,508.00,0,1,0,XQTrade,10:42:09,2026/09/22,
9,完全成交,B02T0,整股,現股買進,ROD,群創(3481),2,52.10,0,2,0,XQTrade,10:34:59,2026/09/22,
10,已刪除,B02RN,整股,現股賣出,ROD,群創(3481),1,53.30,1,0,0,XQTrade,10:30:42,2026/09/22,
11,已刪除,B02RM,整股,現股賣出,ROD,群創(3481),1,53.20,1,0,0,XQTrade,10:30:41,2026/09/22,
12,已刪除,B02RK,整股,現股賣出,ROD,群創(3481),1,53.10,1,0,0,XQTrade,10:30:40,2026/09/22,
13,已刪除,B02RI,整股,現股賣出,ROD,群創(3481),1,53.00,1,0,0,XQTrade,10:30:38,2026/09/22,
14,委託失敗,00000,整股,現股賣出,ROD,群創(3481),1,53.00,0,0,1,XQTrade,10:26:28,2026/09/22,
15,已刪除,B02PE,整股,現股賣出,ROD,群創(3481),1,52.90,1,0,0,XQTrade,10:26:27,2026/09/22,
16,已刪除,B02PD,整股,現股賣出,ROD,群創(3481),1,52.80,1,0,0,XQTrade,10:26:26,2026/09/22,
17,已刪除,B02PC,整股,現股賣出,ROD,群創(3481),1,52.70,1,0,0,XQTrade,10:26:25,2026/09/22,
